-123.436667 63.209444 489 YWY
-115.781944 49.612222 3084 YXC
-113.520556 53.5725 2200 YXD
-106.699722 52.170834 1653 YXE
-110.720833 50.01889 2352 YXH
-120.740278 56.238056 2280 YXJ
-91.905278 50.113889 1258 YXL
-65.713611 66.145 75 YXP
-79.848889 47.695 798 YXR
-122.678889 53.889444 2267 YXS
-128.576219 54.468508 713 YXT
-81.151111 43.033056 912 YXU
-122.360556 49.025278 195 YXX
-135.067269 60.709553 2317 YXY
-79.422778 46.363611 1215 YYB
-114.020278 51.113888 3557 YYC
-127.182778 54.824722 1712 YYD
-122.596944 58.836389 1253 YYE
-119.602222 49.463056 1129 YYF
-63.121111 46.290001 160 YYG
-93.576667 69.546667 92 YYH
-123.425833 48.646944 63 YYJ
-101.07611 56.863888 1170 YYL
-107.690556 50.291944 2680 YYN
-94.065 58.739167 94 YYQ
-60.425833 53.319168 160 YYR
-52.751945 47.61861 461 YYT
-82.4675 49.413889 743 YYU
-88.909721 50.290279 1058 YYW
-68.208056 48.608612 172 YYY
-79.630556 43.677223 569 YYZ
-79.465556 43.7425 652 YZD
-82.567778 45.885277 635 YZE
-114.440278 62.462778 675 YZF
-114.777222 55.293056 1912 YZH
-131.813833 53.254333 21 YZP
-82.308889 42.999444 594 YZR
-127.366667 50.680556 71 YZT
-115.786667 54.14389 2567 YZU
-66.265556 50.223333 180 YZV
-132.742778 60.172779 2313 YZW
-64.916944 44.984444 92 YZX
-133.375833 62.2075 2351 ZFA
-134.860556 67.4075 116 ZFM
2.814167 36.503613 535 ?
4.206389 35.3325 1506 ?
5.069922 36.711997 20 BJA
3.215408 36.691014 82 ALG
9.452444 24.292767 3176 DJG
2.876111 36.545834 335 QFD
0.285647 26.710103 955 ?
8.622653 26.723536 1778 VVZ
2.878714 35.525414 2132 ?
5.451075 22.811461 4518 TMR
5.873608 36.795136 36 GJL
-0.242353 33.535853 3855 ?
0.626272 35.752239 282 ?
7.809167 36.822225 16 AAE
6.620386 36.276028 2265 CZL
8.120717 35.431611 2661 TEE
3.311542 32.930431 2540 HRM
1.463147 35.341136 3245 TID
-0.805389 35.735389 187 ?
-8.167103 27.700372 1453 TIN
1.331775 36.212658 463 QAS
-0.532278 35.542444 367 TAF
-1.45 35.016667 814 TLM
-0.621183 35.623858 295 ORN
-0.593275 35.171775 1614 ?
0.147142 35.207725 1686 MUW
-0.186414 27.837589 919 AZR
5.738231 34.793289 289 BSK
2.859586 30.571294 1306 ELG
3.794114 32.384106 1512 GHA
6.140444 31.672972 463 HME
2.512017 27.251022 896 INZ
6.088672 33.067803 279 TGR
2.928344 33.764383 2510 LOO
0.276033 29.237119 1027 TMX
5.412778 31.917223 492 OGX
9.642911 28.05155 1847 IAM
2.384353 6.357228 19 COO
-1.512417 12.353194 1037 OUA
-4.330969 11.160056 1511 BOY
-0.166786 5.605186 205 ACC
-0.863214 9.557192 553 TML
-2.507694 10.082664 1060 ?
-2.328756 7.361828 1014 NYI
-1.774756 4.896056 21 TKD
-3.926294 5.261386 21 ABJ
-5.073667 7.7388 1230 BYK
-6.473189 6.792808 823 DJO
-5.556664 9.387183 1214 HGO
-7.587364 7.272069 1089 MJC
-6.660817 4.746717 26 SPY
-5.365581 6.903167 699 ASK
7.263172 9.006792 1123 ABV
5.301008 7.246739 1100 AKR
5.599503 6.316981 258 BNI
